Transaction ID,Date of Purchase,Time of Purchase,Purchase Type,Payment Method,Railcard,Ticket Class,Ticket Type,Price,Departure Station,Arrival Destination,Date of Journey,Departure Time,Arrival Time,Actual Arrival Time,Journey Status,Reason for Delay,Refund Request,Is_Delayed,Route
b0cdd1b0-f214-4197-be53,2023-12-16,11:23:01,Station,Credit Card,Adult,Standard,Advance,23,London Kings Cross,York,2024-01-01,1900-01-01 09:45:00,11:35:00,11:40:00,Delayed,Signal Failure,No,1,London Kings Cross → York
01df916f-4291-41ec-a37d,2023-12-31,01:43:09,Station,Credit Card,No Railcard,Standard,Advance,37,London Euston,York,2024-01-01,1900-01-01 00:00:00,01:50:00,02:07:00,Delayed,Signal Failure,No,1,London Euston → York
8dfbf0fc-aea0-424f-b30e,2023-12-31,11:57:15,Station,Debit Card,Adult,Standard,Advance,7,Birmingham New Street,Manchester Piccadilly,2024-01-01,1900-01-01 11:15:00,12:35:00,13:06:00,Delayed,Technical Issue,Yes,1,Birmingham New Street → Manchester Piccadilly
74462231-5241-46f4-8328,2023-12-31,15:53:46,Online,Credit Card,Senior,First Class,Advance,34,Oxford,Bristol Temple Meads,2024-01-01,1900-01-01 14:15:00,15:30:00,15:54:00,Delayed,Signal Failure,Yes,1,Oxford → Bristol Temple Meads
767314a0-f839-4607-a3d3,2024-01-01,05:09:30,Station,Credit Card,No Railcard,First Class,Advance,134,Manchester Piccadilly,London Euston,2024-01-02,1900-01-01 03:30:00,05:20:00,05:31:00,Delayed,Weather Conditions,No,1,Manchester Piccadilly → London Euston
382d60f9-9fe0-4920-97e4,2024-01-01,06:34:08,Station,Credit Card,No Railcard,Standard,Anytime,151,Liverpool Lime Street,London Euston,2024-01-01,1900-01-01 08:00:00,10:15:00,10:39:00,Delayed,Weather,No,1,Liverpool Lime Street → London Euston
711c08ba-eb61-44ba-821a,2024-01-01,09:30:09,Station,Credit Card,No Railcard,First Class,Advance,134,Manchester Piccadilly,London Euston,2024-01-02,1900-01-01 08:00:00,09:50:00,10:08:00,Delayed,Weather,No,1,Manchester Piccadilly → London Euston
c57dd321-4e2f-46c0-8cfb,2024-01-02,02:13:53,Station,Credit Card,No Railcard,First Class,Off-Peak,200,Manchester Piccadilly,London Euston,2024-01-02,1900-01-01 03:30:00,05:20:00,05:31:00,Delayed,Weather Conditions,No,1,Manchester Piccadilly → London Euston
e5e8c888-b22e-4bf5-aaf6,2024-01-02,04:47:49,Online,Contactless,Adult,Standard,Anytime,47,London Kings Cross,York,2024-01-02,1900-01-01 06:15:00,08:05:00,08:35:00,Delayed,Technical Issue,No,1,London Kings Cross → York
dc236178-ccb3-4aa1-9cea,2024-01-02,04:58:57,Online,Debit Card,No Railcard,Standard,Anytime,70,London Kings Cross,York,2024-01-02,1900-01-01 06:15:00,08:05:00,08:35:00,Delayed,Technical Issue,No,1,London Kings Cross → York
a6ab593b-474f-41a5-bab9,2024-01-02,05:07:05,Station,Credit Card,No Railcard,Standard,Advance,84,Manchester Piccadilly,London Euston,2024-01-03,1900-01-01 03:30:00,05:20:00,05:38:00,Delayed,Weather Conditions,No,1,Manchester Piccadilly → London Euston
abbbe382-faca-4289-b9b7,2024-01-02,07:32:42,Station,Contactless,Adult,Standard,Off-Peak,12,Manchester Piccadilly,Nottingham,2024-01-02,1900-01-01 09:00:00,10:00:00,10:59:00,Delayed,Signal Failure,No,1,Manchester Piccadilly → Nottingham
32cabb23-6a69-44e5-a418,2024-01-02,07:33:03,Station,Contactless,Adult,Standard,Off-Peak,10,Manchester Piccadilly,Leeds,2024-01-02,1900-01-01 09:00:00,09:45:00,12:39:00,Delayed,Signal Failure,No,1,Manchester Piccadilly → Leeds
ba9e6ec7-6c30-402d-9793,2024-01-02,09:31:53,Station,Credit Card,No Railcard,Standard,Advance,76,Liverpool Lime Street,London Euston,2024-01-03,1900-01-01 08:00:00,10:15:00,11:09:00,Delayed,Weather,No,1,Liverpool Lime Street → London Euston
100e0c8f-029e-43ad-9e66,2024-01-02,09:34:01,Station,Credit Card,No Railcard,Standard,Advance,76,Liverpool Lime Street,London Euston,2024-01-03,1900-01-01 08:00:00,10:15:00,11:09:00,Delayed,Weather,No,1,Liverpool Lime Street → London Euston
ef586c9b-fa89-47ac-ade6,2024-01-02,09:34:19,Station,Credit Card,No Railcard,Standard,Advance,76,Liverpool Lime Street,London Euston,2024-01-03,1900-01-01 08:00:00,10:15:00,11:09:00,Delayed,Weather,No,1,Liverpool Lime Street → London Euston
9f41ca1d-fbc7-4a9d-b00a,2024-01-02,10:32:20,Station,Contactless,Adult,Standard,Advance,6,Manchester Piccadilly,Leeds,2024-01-03,1900-01-01 09:00:00,09:45:00,10:22:00,Delayed,Signal Failure,No,1,Manchester Piccadilly → Leeds
be826c41-d24e-4086-8550,2024-01-02,10:51:36,Station,Debit Card,Adult,Standard,Off-Peak,3,Liverpool Lime Street,Manchester Piccadilly,2024-01-02,1900-01-01 11:15:00,11:45:00,12:17:00,Delayed,Technical Issue,Yes,1,Liverpool Lime Street → Manchester Piccadilly
d551d829-2581-4478-8b34,2024-01-02,12:33:42,Station,Contactless,No Railcard,Standard,Advance,3,Manchester Piccadilly,Liverpool Lime Street,2024-01-03,1900-01-01 11:00:00,11:30:00,14:24:00,Delayed,Staff Shortage,No,1,Manchester Piccadilly → Liverpool Lime Street
33b6cd3a-e800-4050-a446,2024-01-02,16:09:30,Station,Debit Card,No Railcard,Standard,Advance,76,Liverpool Lime Street,London Euston,2024-01-03,1900-01-01 15:30:00,17:45:00,18:14:00,Delayed,Staffing,Yes,1,Liverpool Lime Street → London Euston
78622bcb-5883-424c-8456,2024-01-02,18:13:20,Station,Debit Card,Adult,Standard,Advance,50,Liverpool Lime Street,London Euston,2024-01-03,1900-01-01 17:30:00,19:45:00,20:10:00,Delayed,Technical Issue,Yes,1,Liverpool Lime Street → London Euston
0567ec14-6dac-4644-959c,2024-01-03,02:10:09,Station,Credit Card,No Railcard,Standard,Off-Peak,11,York,Durham,2024-01-03,1900-01-01 03:30:00,04:20:00,04:32:00,Delayed,Weather Conditions,No,1,York → Durham
7c7abfc7-41c0-48f4-b9a1,2024-01-03,06:32:24,Station,Credit Card,No Railcard,Standard,Anytime,151,Liverpool Lime Street,London Euston,2024-01-03,1900-01-01 08:00:00,10:15:00,11:09:00,Delayed,Weather,No,1,Liverpool Lime Street → London Euston
19550585-bfed-41a9-a8c8,2024-01-03,06:35:56,Station,Credit Card,No Railcard,Standard,Anytime,151,Liverpool Lime Street,London Euston,2024-01-03,1900-01-01 08:00:00,10:15:00,11:09:00,Delayed,Weather,No,1,Liverpool Lime Street → London Euston
7e4ebb6e-e31b-4120-99c3,2024-01-03,06:38:42,Station,Credit Card,No Railcard,Standard,Anytime,151,Liverpool Lime Street,London Euston,2024-01-03,1900-01-01 08:00:00,10:15:00,11:09:00,Delayed,Weather,No,1,Liverpool Lime Street → London Euston
5cc76758-2910-4f47-bdf8,2024-01-03,06:39:46,Station,Credit Card,No Railcard,Standard,Anytime,151,Liverpool Lime Street,London Euston,2024-01-03,1900-01-01 08:00:00,10:15:00,11:09:00,Delayed,Weather,No,1,Liverpool Lime Street → London Euston
271c72c3-3bf9-4cf8-bfbe,2024-01-03,07:23:52,Station,Contactless,Adult,Standard,Advance,2,Liverpool Lime Street,Manchester Piccadilly,2024-01-04,1900-01-01 05:45:00,06:15:00,06:39:00,Delayed,Signal Failure,No,1,Liverpool Lime Street → Manchester Piccadilly
6c0f1e83-dccd-461b-9e1b,2024-01-03,09:36:40,Station,Contactless,No Railcard,Standard,Off-Peak,4,Manchester Piccadilly,Liverpool Lime Street,2024-01-03,1900-01-01 11:00:00,11:30:00,14:24:00,Delayed,Staff Shortage,No,1,Manchester Piccadilly → Liverpool Lime Street
662b7a86-e0f6-42af-acf0,2024-01-03,09:42:19,Station,Contactless,No Railcard,Standard,Off-Peak,4,Manchester Piccadilly,Liverpool Lime Street,2024-01-03,1900-01-01 11:00:00,11:30:00,14:24:00,Delayed,Staff Shortage,No,1,Manchester Piccadilly → Liverpool Lime Street
8c14f3ce-baaf-4da0-b8ea,2024-01-03,10:30:15,Station,Contactless,Adult,Standard,Advance,6,Manchester Piccadilly,Leeds,2024-01-04,1900-01-01 09:00:00,09:45:00,12:33:00,Delayed,Signal Failure,No,1,Manchester Piccadilly → Leeds
ca41b64a-08b3-4e49-9dc7,2024-01-03,10:44:13,Station,Debit Card,Adult,Standard,Off-Peak,3,Liverpool Lime Street,Manchester Piccadilly,2024-01-03,1900-01-01 11:15:00,11:45:00,12:12:00,Delayed,Technical Issue,Yes,1,Liverpool Lime Street → Manchester Piccadilly
2e0ca4b7-44e7-4d79-ae48,2024-01-03,15:06:15,Station,Debit Card,No Railcard,Standard,Off-Peak,43,Edinburgh Waverley,London Kings Cross,2024-01-03,1900-01-01 15:30:00,19:50:00,20:10:00,Delayed,Staffing,Yes,1,Edinburgh Waverley → London Kings Cross
83a9482a-c116-4cb7-a588,2024-01-03,15:11:05,Station,Debit Card,No Railcard,First Class,Off-Peak,200,Manchester Piccadilly,London Euston,2024-01-03,1900-01-01 15:30:00,17:20:00,17:39:00,Delayed,Staffing,Yes,1,Manchester Piccadilly → London Euston
